Song Title,Song MD5 hash,Song difficulty,Song-wise discrimination,Song-wise EASY-clear difficulty,Song-wise HARD-clear difficulty
Pentagram -grandiflorus-,dcd0480608ce691581c21e07f4fbebce,so8,1.7564663773210707,0.3398551614864689,0.8975893059157566
Pedrolino [ECHOLALIA],ad316aac193d587c50542e7ac0176a1c,st9,3.3583678434996664,2.6073436783889954,3.5176911409754066
Pastel Galaxy (おに),b9d10fae126860b2c23518b8c0b84214,st8,3.3947035674740316,2.11815642709299,3.3464331931042772
Passionate Stars [SP ANOTHER],4d030a9f6df66c89642ad07705e29bd4,sl0,2.2809965055432837,-2.675213639622862,-1.9888070776162978
Party Time! [FO],e393ca5f39c4247512777decb77d556c,st3,3.6621090779111576,1.2977757528321363,2.073505195801385
Party 4U (MANIAQ),18adfdab3665478691bcb38f9413daaf,★9,3.2260905751753177,-1.0075349974081718,-0.2902316675579852
Party 4U (EXTREME),365ed4ea99075381e02d17a30ce515a0,★13,3.9117024929411994,-0.33675334090892045,0.3255206404277507
Party 4U (AFOTHER),a832f562a5edf913c31062a49577bd3e,★4,2.8661974867309947,-2.000775159444049,-0.9722047064483292
Particle [STREAM],c53897111af7a5b7db72bafcafeca7e9,st5,4.184719487810374,2.219753745778716,2.6936936819208324
Parousia [παρουσια],76294fd563a49f07db199057fba07013,★★4,3.8532076026846953,1.719433860407814,3.0692003271091757
Parousia [Osorosia],1c08cf21845bf409451368d83dd2a86f,st9,4.428452156778038,2.642678161631739,3.736880905790342
Parousia [HEAVEN],b1599974bc31ef91665e94e33921b025,★★3,4.6930288765840125,1.5231820623470267,2.3710532175157124
Parousia [HARD],37663e91190ce4a0b502def7155df58e,★1,2.5871985382068625,-2.4803962240914106,-1.4987814042183096
Parousia [ANOTHER＋],44d20d9a0970f27dcff847b58cc83ae4,st1,4.552538941678213,1.091924317582031,1.4230901625201973
Parousia [ANOTHER],ee21ce9f5b84794c69e64e6d6d27caed,★10,3.138957974531203,-0.8676596464022025,-0.033169481769662994
Parallax [Kvama],b1fbcf1a570d2806c60651e7c87ab226,st7,2.406487637436953,1.9926054098996602,2.9318794997121764
Paraclete [INFELNO],8ad0e0556389b7fab8883a6fd5e1c042,★★3,4.3335143478182125,1.3897835670390208,2.097541290187384
Paraclete [Ascension],6e4ecc69bdef0ed46450b4f1d0773b96,st8,4.24057000698227,2.4929524950929918,3.305033506585166
Paracelestia [ZOI],92ff773f69e452df0784064d3dd29fb7,sl4,2.662590326882247,-1.1557348749745335,-0.4199105717049688
